final_feature_index,feature_name,source
0,RDKIT::MaxAbsEStateIndex,RDKit
1,RDKIT::MinAbsEStateIndex,RDKit
2,RDKIT::MinEStateIndex,RDKit
3,RDKIT::qed,RDKit
4,RDKIT::SPS,RDKit
5,RDKIT::MolWt,RDKit
6,RDKIT::NumValenceElectrons,RDKit
7,RDKIT::MaxPartialCharge,RDKit
8,RDKIT::MinPartialCharge,RDKit
9,RDKIT::MinAbsPartialCharge,RDKit
10,RDKIT::FpDensityMorgan1,RDKit
11,RDKIT::FpDensityMorgan2,RDKit
12,RDKIT::FpDensityMorgan3,RDKit
13,RDKIT::BCUT2D_MWHI,RDKit
14,RDKIT::BCUT2D_MWLOW,RDKit
15,RDKIT::BCUT2D_CHGHI,RDKit
16,RDKIT::BCUT2D_CHGLO,RDKit
17,RDKIT::BCUT2D_LOGPHI,RDKit
18,RDKIT::BCUT2D_LOGPLOW,RDKit
19,RDKIT::BCUT2D_MRHI,RDKit
20,RDKIT::BCUT2D_MRLOW,RDKit
21,RDKIT::AvgIpc,RDKit
22,RDKIT::BalabanJ,RDKit
23,RDKIT::BertzCT,RDKit
24,RDKIT::Chi0,RDKit
25,RDKIT::Chi0n,RDKit
26,RDKIT::Chi0v,RDKit
27,RDKIT::Chi1,RDKit
28,RDKIT::Chi1n,RDKit
29,RDKIT::Chi1v,RDKit
30,RDKIT::Chi2n,RDKit
31,RDKIT::Chi2v,RDKit
32,RDKIT::Chi3n,RDKit
33,RDKIT::Chi3v,RDKit
34,RDKIT::Chi4n,RDKit
35,RDKIT::Chi4v,RDKit
36,RDKIT::HallKierAlpha,RDKit
37,RDKIT::Ipc,RDKit
38,RDKIT::Kappa1,RDKit
39,RDKIT::Kappa2,RDKit
40,RDKIT::Kappa3,RDKit
41,RDKIT::LabuteASA,RDKit
42,RDKIT::PEOE_VSA1,RDKit
43,RDKIT::PEOE_VSA10,RDKit
44,RDKIT::PEOE_VSA11,RDKit
45,RDKIT::PEOE_VSA12,RDKit
46,RDKIT::PEOE_VSA13,RDKit
47,RDKIT::PEOE_VSA14,RDKit
48,RDKIT::PEOE_VSA2,RDKit
49,RDKIT::PEOE_VSA3,RDKit
50,RDKIT::PEOE_VSA4,RDKit
51,RDKIT::PEOE_VSA5,RDKit
52,RDKIT::PEOE_VSA6,RDKit
53,RDKIT::PEOE_VSA7,RDKit
54,RDKIT::PEOE_VSA8,RDKit
55,RDKIT::PEOE_VSA9,RDKit
56,RDKIT::SMR_VSA1,RDKit
57,RDKIT::SMR_VSA10,RDKit
58,RDKIT::SMR_VSA2,RDKit
59,RDKIT::SMR_VSA3,RDKit
60,RDKIT::SMR_VSA4,RDKit
61,RDKIT::SMR_VSA5,RDKit
62,RDKIT::SMR_VSA6,RDKit
63,RDKIT::SMR_VSA7,RDKit
64,RDKIT::SMR_VSA9,RDKit
65,RDKIT::SlogP_VSA1,RDKit
66,RDKIT::SlogP_VSA10,RDKit
67,RDKIT::SlogP_VSA11,RDKit
68,RDKIT::SlogP_VSA12,RDKit
69,RDKIT::SlogP_VSA2,RDKit
70,RDKIT::SlogP_VSA3,RDKit
71,RDKIT::SlogP_VSA4,RDKit
72,RDKIT::SlogP_VSA5,RDKit
73,RDKIT::SlogP_VSA6,RDKit
74,RDKIT::SlogP_VSA7,RDKit
75,RDKIT::SlogP_VSA8,RDKit
76,RDKIT::TPSA,RDKit
77,RDKIT::EState_VSA1,RDKit
78,RDKIT::EState_VSA10,RDKit
79,RDKIT::EState_VSA2,RDKit
80,RDKIT::EState_VSA3,RDKit
81,RDKIT::EState_VSA4,RDKit
82,RDKIT::EState_VSA5,RDKit
83,RDKIT::EState_VSA6,RDKit
84,RDKIT::EState_VSA7,RDKit
