smiles,docking_score,reference_id
c1cc(F)ccc1-n([nH]c2C)c(=O)c2CCC(=O)N[C@H](CC3)c(c34)cccc4,-8.743,TRAIN_0001
Cc1ccc(cc1C)-c2nn(Cc3ccccc3)cc2C(=O)N4CCC(CC4)C(=O)N5CCCCCC5,-8.667,TRAIN_0002
c1cccc(c12)c(c[nH]2)C[C@@H](NC3=O)C(=O)N3C[C@@H](O)COCc4ccccc4,-8.511,TRAIN_0003
c1c(F)ccc(c12)[nH]c(c2)C(=O)N(C)Cc(n3)[nH]c(c34)cccc4,-8.464,TRAIN_0004
O=C1CC[C@H](CN1C)C(=O)N[C@H](Cc2ccc(O)cc2)c(n3)[nH]c(c34)cccc4,-8.463,TRAIN_0005
C1CCCCN1C(=O)CN(CCC(C)C)c2c(=O)[nH]c(=O)n(c2N)Cc3ccccc3,-8.365,TRAIN_0006
c1cccc(c12)n(C)c(n2)CN[C@H](c3ccccc3)C(=O)Nc4ccc(F)cc4,-8.343,TRAIN_0007
c1ccccc1CN(CCC(=O)N)C(=O)Cn(cn2)c(=O)c(c23)ccc(Cl)c3,-8.25,TRAIN_0008
c1cc(F)ccc1C(=O)N[C@H](Cc(c[nH]2)c(c23)cccc3)C(=O)N[C@@H]4CCN(C4)Cc5ccccc5,-8.219,TRAIN_0009
Fc(c1)c(F)ccc1C(=O)N2CCN(CC2)C(=O)c(c3)[nH]c(=O)c(c34)cccc4,-8.212,TRAIN_0010
FC(F)(F)C1(O)CCN(CC1)C(=O)c2cn(Cc3ccccc3)nc2-c4ccccc4,-8.171,TRAIN_0011
c1cccc(c12)c(c[nH]2)C[C@@H](NC(=O)C)C(=O)NCc(c3)[nH]c(c34)cccc4,-8.166,TRAIN_0012
C1CCn(c12)nc(c2)NC(=O)Cc3ccn(n3)-c4ccc(F)cc4,-8.162,TRAIN_0013
NC(=O)c1cccc(c1)N[C@H](c2ccccc2)C(=O)Nc3ccc(F)cc3,-8.161,TRAIN_0014
Fc1ccccc1NC(=O)NC[C@@H](C2CC2)NC(=O)Nc3ccccc3F,-8.153,TRAIN_0015
Fc1cc(F)ccc1NC(=O)NCc2nc(c[nH]2)-c3ccc(F)cc3,-8.15,TRAIN_0016
